 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Cons.Res.ForaÁreaCons.<1 anoCons.1a4anosCons.5a9anosCons.10a14anosCons.15a19anosCons.20a39anosCons.40a49anosCons.50a59anosCons.60 e maisAtend.PuericulturaAtend.Pré-NatalAtend Prev-citologAtend.DST/AIDSAtend.DiabetesAtend.Hiper.Arter.Atend.HanseníaseAtend.TuberculoseEx.Patologia Clín.Ex.RadiodiagnósticEx.CitopatológicoEx.UltrassonografEx.OutrosEncam.Atend.Espec.Encam.Int.HospitalEncam.Urg./EmergIntern.DomiciliarAtend.Espec.AcTrabVis.Insp.SanitáriaAtend.Indiv.EnfermAtend.Ind.Prof.NS.CurativosInalaçõesInjeçõesRetirada de pontosTerap.Reid.OralSuturaAtend.GrupoProc.Coletiv(PC1)ReuniõesVisita MédicoVisita Enferm.Vis Outr.Prof.NS.Vis Prof.Niv.MédioValvul.Reum.5-14a.AVCInfartoDHEG(Forma Grave)DoençaHemol.Perin.FraturaColoFêmurMening.TuberculosaHans.Grau II e IIICit.Oncot NIC IIIPneum. <5 anos por Município
Período:2009-2011
"Município";"Cons.Res.ForaÁrea";"Cons.<1_ano";"Cons.1a4anos";"Cons.5a9anos";"Cons.10a14anos";"Cons.15a19anos";"Cons.20a39anos";"Cons.40a49anos";"Cons.50a59anos";"Cons.60_e_mais";"Atend.Puericultura";"Atend.Pré-Natal";"Atend_Prev-citolog";"Atend.DST/AIDS";"Atend.Diabetes";"Atend.Hiper.Arter.";"Atend.Hanseníase";"Atend.Tuberculose";"Ex.Patologia_Clín.";"Ex.Radiodiagnóstic";"Ex.Citopatológico";"Ex.Ultrassonograf";"Ex.Outros";"Encam.Atend.Espec.";"Encam.Int.Hospital";"Encam.Urg./Emerg";"Intern.Domiciliar";"Atend.Espec.AcTrab";"Vis.Insp.Sanitária";"Atend.Indiv.Enferm";"Atend.Ind.Prof.NS.";"Curativos";"Inalações";"Injeções";"Retirada_de_pontos";"Terap.Reid.Oral";"Sutura";"Atend.Grupo";"Proc.Coletiv(PC1)";"Reuniões";"Visita_Médico";"Visita_Enferm.";"Vis_Outr.Prof.NS.";"Vis_Prof.Niv.Médio";"Valvul.Reum.5-14a.";"AVC";"Infarto";"DHEG(Forma_Grave)";"DoençaHemol.Perin.";"FraturaColoFêmur";"Mening.Tuberculosa";"Hans.Grau_II_e_III";"Cit.Oncot_NIC_III";"Pneum._<5_anos"
"312330 Dores do Turvo";10;506;1126;1754;1710;1678;5457;3298;3048;4115;1524;656;1138;36;1761;8833;-;-;4080;682;733;571;335;556;257;122;83;10;14;1156;367;3651;767;3020;580;492;462;308;297;289;999;1259;173;1597;-;1;-;-;-;1;-;-;-;-
"312340 Doresópolis";235;418;1224;1157;830;825;2846;1714;1706;1813;1272;341;400;1;1532;3131;-;-;4798;553;410;59;1075;766;494;112;-;26;1076;4319;28519;8771;789;12948;108;140;95;1790;101620;146;932;1096;367;3940;-;2;1;-;-;1;-;-;-;-
"312350 Douradoquara";9;231;641;551;364;425;1829;1003;814;1180;821;336;475;-;191;546;-;-;1608;858;5;108;777;709;163;29;7;81;-;1512;6473;1918;750;2174;158;287;99;176;229;83;402;504;766;1718;-;1;2;2;-;2;-;-;4;3
"312352 Durandé";-;1000;3386;3487;3084;2866;10397;4565;3797;4566;533;294;1367;669;4601;10619;16;44;3023;589;120;152;2313;306;123;180;1;76;1;39212;3873;27224;8304;22624;793;84;142;8801;9644;565;4015;7805;457;8625;-;9;10;-;-;2;-;-;1;15
"312360 Elói Mendes";132;1343;3704;3618;3559;3142;12670;8721;9421;13083;4967;11;2999;45;7320;55258;23;25;8683;1769;3146;1;1341;4387;109;47;42;1;1;6408;7820;10465;2376;2724;334;1146;3;993;155;514;2414;4496;23;7475;-;8;4;1;1;3;-;-;1;2
"312370 Engenheiro Caldas";118;619;2147;1992;2030;1968;6219;3765;3469;5977;1442;365;2175;392;3267;7206;228;23;3684;1191;785;221;1449;5;4;358;-;48;70;23301;9237;9578;6771;14126;779;3357;353;359;86;165;687;1898;110;1931;-;5;2;-;-;1;-;4;1;-
"312380 Engenheiro Navarro";192;921;1339;1335;1387;1994;4521;2969;3171;4137;2169;1941;2476;65;2218;7671;-;36;3658;589;331;589;889;833;305;126;5;21;136;6259;8092;8020;426;4414;206;82;41;463;11698;231;1680;3345;1506;9641;-;29;7;2;-;5;3;-;1;23
"312385 Entre Folhas";3;296;655;932;1005;1062;2598;2652;2206;3596;632;409;1281;103;6302;26150;50;20;1870;565;267;193;539;395;127;122;7;1;3;20060;9748;3186;1569;1641;427;1215;461;1509;53504;321;1141;1614;4744;25864;-;2;-;-;-;-;-;-;-;-
"312390 Entre Rios de Minas";2;132;700;1075;1485;1799;6785;5421;5303;7855;1661;1210;4111;50;2567;5370;10;10;50753;1543;2308;244;3298;1972;98;204;2;7;-;13843;3492;9955;1687;4861;648;264;3;267;8;218;1117;1173;8;7458;-;16;17;2;-;9;-;-;6;16
"312400 Ervália";1;2501;4512;5031;5946;7686;21160;15777;15248;18507;3006;2765;3824;414;5359;19383;253;400;5394;989;2369;697;1166;1355;126;98;-;3;6;34297;429;8971;1864;8445;888;350;136;412;48761;383;3377;9678;1404;4195;-;15;10;2;-;7;-;2;-;-
"312410 Esmeraldas";3669;4196;6902;6663;4364;4557;16842;10572;11084;13214;6336;5185;6666;241;5041;17019;25;60;14935;4705;1398;1497;2944;9987;401;1689;6;4;394;30666;956;6795;4968;11397;2041;1180;32;181;9629;520;452;2420;17301;2062;1;26;21;38;-;6;1;13;10;81
"312420 Espera Feliz";899;1068;2843;3426;3189;3963;15116;9779;10490;14045;7592;2535;4946;710;3218;19573;87;44;17413;1889;2138;647;9049;5449;101;109;-;10;89;31047;25275;19758;3702;7559;2216;1153;15;3903;46303;803;546;2260;2595;6493;1;48;52;-;-;9;-;2;3;21
"312430 Espinosa";101;5702;9044;7356;6384;8213;29263;13390;12943;19770;7622;8100;6568;186;4422;28091;123;223;12100;2983;876;1656;4852;3158;211;104;5;431;8;32735;3769;10509;6450;10011;1914;586;185;1315;6318;1029;1990;3206;747;9703;3;2;-;1;-;1;1;-;-;2
"312440 Espírito Santo do Dourado";-;37;268;317;312;244;1181;903;1132;3006;2953;1;107;-;1637;6872;31;-;539;232;47;1;17;406;33;21;-;-;357;2975;3988;1394;11;2074;17;9;43;406;8923;80;2826;5055;2693;7244;-;4;1;-;-;1;-;-;-;-
"312450 Estiva";264;65;199;272;417;493;2123;1793;1663;2273;4910;190;1239;143;1817;7061;26;12;1335;950;615;19;1491;980;21;35;2;8;9;8492;6298;2030;14;684;83;105;2;1308;1182;450;974;2669;535;5641;-;6;9;-;1;2;1;5;1;2
"312460 Estrela Dalva";67;178;283;348;408;607;1453;1206;1204;1797;1008;535;602;6;2767;7218;-;14;92;47;30;8;62;59;19;13;11;-;-;3394;547;5203;372;927;73;2;3;52;-;129;974;2933;4569;7957;-;-;-;-;-;-;-;-;-;-
"312470 Estrela do Indaiá";55;241;705;695;610;486;2737;1852;2143;3288;2578;267;327;917;5069;18550;144;-;1962;65;133;45;382;176;66;75;11;3;70;4087;11981;4704;915;2019;95;335;121;99;2504;124;236;2107;6;3781;-;6;10;1;-;6;-;1;1;1
"312480 Estrela do Sul";264;241;1047;873;827;1058;6124;2879;2705;3824;891;736;1368;149;1287;4272;54;38;1770;465;713;194;423;559;23;113;2;103;4;11230;3700;2321;1197;2161;194;114;15;418;33866;219;1196;2149;277;12774;-;3;-;-;-;2;-;-;1;1
"312490 Eugenópolis";9;350;877;1145;1161;1432;5616;4608;5079;6794;2853;2679;2511;156;8661;27016;46;2;21342;1144;799;1890;330;1221;262;19;-;2;-;17353;675;14700;1834;3258;841;292;2;1095;81540;280;7253;10478;1927;28509;-;12;3;-;-;4;-;3;-;6
"312500 Ewbank da Câmara";2;452;672;668;734;961;3468;2692;3071;4588;701;109;978;14;1058;3224;-;11;1489;636;876;54;529;1088;20;38;12;-;-;1916;88;2353;95;1119;61;2;10;173;5551;236;1015;1203;87;8852;-;-;1;-;-;-;-;-;-;-
"312510 Extrema";198;1378;3952;5810;6943;8155;30234;17976;20625;292615;3698;2742;6893;641;19141;49780;73;70;21262;4999;4275;623;8700;9334;244;1532;27;36;106;37922;8800;3848;3681;6664;1140;335;14;1143;59767;646;8077;7444;1951;10621;-;19;21;16;-;8;-;1;5;28
"312520 Fama";42;100;208;364;755;1068;2878;1112;1234;1830;301;81;226;13;1380;3261;1;7;1642;594;14;4;435;756;6;29;1;-;-;278;13;1040;381;594;111;5;21;33;3;105;621;784;-;1123;-;3;3;2;-;2;-;-;-;-
"312530 Faria Lemos";-;14;156;194;349;453;1685;1119;1247;1986;17;357;331;2;1515;5994;-;-;224;74;27;56;145;27;1;-;-;-;-;2622;7184;3720;940;1812;140;147;-;965;18200;68;3;1424;298;8545;-;-;-;-;-;1;-;-;-;-
"312540 Felício dos Santos";2594;959;2182;2011;2192;2451;5754;4124;3682;6161;1705;1489;1223;27;2699;9574;-;10;1907;398;35;37;390;469;79;188;6;-;121;22777;48;5309;2176;11730;207;147;140;187;4604;135;848;2084;-;5194;-;5;-;-;-;3;-;-;-;7
"312560 Felisburgo";645;1072;2250;2073;1884;2332;8586;4565;4161;7359;1953;1966;1450;20;4274;16671;169;8;14610;771;241;412;797;795;228;220;3;-;13;14788;27218;6577;875;3854;150;2051;1;226;370206;204;1758;4461;523;19980;-;1;-;-;-;7;-;25;-;1
"312570 Felixlândia";1;722;2071;2135;2146;2067;9309;10772;7328;10747;1231;1491;3509;43;6270;17997;114;97;25768;2340;518;100;2636;3696;130;432;45;-;1;23033;21687;11208;1054;1897;507;38;57;1616;29147;652;1672;4378;411;15114;-;23;11;4;-;4;-;32;4;12
"312580 Fernandes Tourinho";207;187;483;587;741;1012;3185;2231;1775;2947;598;328;612;51;472;1256;50;25;1967;287;41;244;2188;-;-;-;1;4;1;5066;260;2136;114807;7386;471;301;33;567;41;131;246;676;15;1522;-;-;-;-;-;-;-;-;1;-
"312590 Ferros";7244;933;2552;2550;2660;2698;9664;5672;4705;8546;2825;956;2578;12;2061;8496;17;10;1795;277;31;78;459;452;209;19;-;-;-;25685;27;4767;1048;9546;630;342;24;913;142;119;171;1758;87;2206;-;9;6;2;-;1;-;8;-;-
"312595 Fervedouro";1457;622;1844;2413;2635;2594;11401;7447;6781;8756;376;521;1896;21;2595;7960;23;12;5015;1425;504;63;827;1338;93;10;57;38;2;5372;11333;7326;1831;2086;527;93;21;356;21088;172;1431;2660;975;8903;-;8;6;-;-;5;-;-;-;31
"312600 Florestal";4;22;70;137;257;540;1836;3158;3932;5558;2546;278;182;2;5311;9841;6;210;3710;-;-;-;-;-;8;69;40;-;4232;5559;9;9252;28;8084;206;167;-;22938;111;411;1606;2004;-;30006;-;-;-;-;-;2;-;-;-;-
"312610 Formiga";615;3985;6852;7381;8042;11072;46292;33949;40140;50499;12771;4864;14715;4370;11905;32133;157;85;31581;5832;2423;837;8354;14109;30;291;-;847;18021;96970;16589;25854;7408;12700;5410;6978;48;16082;182968;9356;2597;5638;1967;9264;-;19;12;4;-;15;-;11;-;11
"312620 Formoso";524;1188;2958;2750;2281;3008;7355;4088;3749;4404;221;1729;985;-;842;5950;25;-;28882;133;120;1005;122;47;-;1;-;-;36;20132;4309;6105;5177;13296;963;1618;830;283;228;233;1045;1811;1577;3271;-;-;-;-;-;-;-;-;-;-
"312630 Fortaleza de Minas";227;169;140;223;264;404;2204;1660;1703;2661;854;996;1496;20;1359;2541;1;-;1881;374;213;423;571;1421;18;66;26;-;-;7182;4317;2376;33;272;37;2;1;455;5344;121;1594;1302;838;3679;-;5;1;-;-;-;-;-;-;-
"312640 Fortuna de Minas";2;320;1034;939;1250;1022;3217;1499;1257;2008;1124;33;257;4;1049;3464;-;-;789;387;9;12;297;565;4;85;7;5;-;5079;-;3326;160;765;16;7;35;80;18077;68;451;1714;76;8245;-;1;-;-;-;1;-;-;-;2
"312650 Francisco Badaró";97;514;1608;1831;1864;2361;8337;4763;5518;9151;1849;1701;2407;47;1679;9708;96;33;3590;439;301;261;3646;1704;663;690;-;-;17;19567;2684;6492;1760;3533;531;1597;193;869;37154;264;193;1899;645;3159;-;20;3;-;-;9;-;1;1;3
"312660 Francisco Dumont";398;1097;2684;2215;2187;2775;9347;3867;3625;4789;2131;1388;1657;272;851;2271;40;2;8279;684;513;256;1325;2023;333;900;-;-;-;5947;9954;6934;3662;7178;474;989;764;319;38;145;243;1271;1491;4503;-;8;6;-;-;7;-;-;3;5
"312670 Francisco Sá";76;2462;5716;5953;5968;7267;24514;12554;11180;16145;3949;4133;2424;516;4414;24964;16;81;9124;2699;1488;1071;2732;5130;269;2681;54;5;6;25260;10618;12861;6209;8653;2244;1748;87;1619;6974;1119;1821;6761;206;6570;1;20;6;2;-;3;-;-;4;38
"312675 Franciscópolis";2;994;2545;2649;2499;2248;7506;2960;3184;4231;1863;1374;1004;153;1440;7264;8;42;4917;527;409;531;610;1528;370;45;12;3;5;14707;4410;7090;2914;9548;624;1584;303;215;110339;159;3353;3754;1051;5281;-;5;-;-;-;4;-;2;4;-
"312680 Frei Gaspar";893;865;2008;1752;1581;1995;5815;3037;2669;4495;4193;1516;1268;2983;2305;10336;2;10;5064;1311;885;693;1368;1193;245;1434;30;77;115;6826;6972;3459;2372;4323;441;793;193;124;263;150;2282;3495;158;13745;-;12;3;-;-;4;-;-;4;4
"312690 Frei Inocêncio";103;663;2633;3040;2669;3036;10152;6556;6273;9685;1274;1677;2944;264;2170;9153;242;112;7678;1733;360;538;2203;4376;111;174;-;-;3;26416;7;7615;879;869;302;77;2;183;18433;109;1114;1889;107;5888;-;22;15;7;-;6;-;2;4;4
"312695 Frei Lagonegro";-;1113;3051;2657;1865;2440;11428;3503;2994;4302;1270;1243;652;211;291;5953;-;5;13;1553;236;329;10214;3979;359;17;11;-;10;10271;8576;9113;6383;6873;487;2010;171;219;1972;199;457;964;57;2717;-;-;1;-;-;-;-;-;-;10
"312700 Fronteira";-;2359;3976;2664;1744;1931;7283;4617;5005;6927;4568;1314;2315;886;5021;8852;11;15;3599;1154;555;465;1828;1352;100;128;-;-;-;5455;700;10726;5740;7340;681;24;2;153;1010;172;1115;1083;681;11856;-;-;-;-;-;-;-;-;1;-
"312705 Fronteira dos Vales";640;1222;2537;2394;2252;2824;6602;3903;3762;5844;792;2031;1405;734;4766;13712;187;331;15493;1201;1307;870;328;794;209;484;1;153;95;7062;1001;7233;8899;10934;401;675;448;573;22485;512;3140;6497;492;5885;-;7;-;-;-;-;-;-;-;2
"312707 Fruta de Leite";1331;2022;4277;3664;3334;3767;14015;5982;6363;10901;5212;2342;1353;202;1977;11954;1;31;5007;1295;149;435;885;2104;505;617;114;-;-;16011;89;4385;5490;15777;561;2650;261;212;577;617;395;2368;-;2454;-;5;-;-;-;2;-;-;-;-
"312710 Frutal";4888;1899;2453;2376;3532;6820;23345;16566;16944;27537;3010;2386;1835;288;8533;21530;13;153;3388;1450;398;390;5655;7549;130;357;7;-;224;14389;28654;18137;12786;4972;2849;1108;11;3567;2918;682;2798;7850;1448;16378;4;59;32;-;-;13;6;4;27;45
"312720 Funilândia";10;396;896;914;1190;1238;3416;2356;1947;2824;204;320;3;31;1476;3390;6;13;638;882;-;175;61;787;11;174;-;86;350;5430;8469;2203;376;1414;74;19;60;175;5778;154;427;739;7;8826;-;2;2;1;-;-;-;-;-;17
"312730 Galiléia";1893;1160;3048;3113;2630;3893;8283;5261;4902;6398;2412;1749;886;288;3993;6637;163;218;6076;498;375;280;9611;1822;495;783;12;1;2;17702;4841;4717;3081;7074;651;115;155;10522;44;682;1375;3435;122;3336;937;-;2;3;-;1;-;11;1;4
"312733 Gameleiras";34;1401;3142;2440;2252;2703;9041;4577;4328;5442;775;1804;2305;121;408;1617;-;122;16020;813;2076;507;180;312;41;146;7;1;2;19420;2269;10087;10812;18597;1684;148;735;232;518307;66;391;922;571;1453;-;4;1;-;-;-;-;-;-;1
"312735 Glaucilândia";217;250;569;663;538;543;2046;1080;706;808;292;574;544;196;384;917;34;39;7632;566;503;258;792;428;28;74;7;2;4;1561;593;1510;878;1898;154;460;86;235;381;66;355;947;459;1605;-;3;-;-;-;2;-;-;-;-
"312737 Goiabeira";248;604;1692;1571;1903;2812;6777;4367;4230;4425;4135;471;543;4;597;1279;40;-;23252;1101;423;651;2436;1145;218;35;34;2;54;503;793;3856;794;2664;483;449;244;63;88;89;206;309;162;250;-;2;-;-;-;-;-;-;-;-
"312738 Goianá";1;81;238;220;354;376;1991;1799;2350;4272;279;7;432;1;1188;4235;1;1;1988;190;293;-;1518;832;5;45;-;104;-;1124;1291;7179;42;561;54;-;2;149;1803;78;428;568;68;3028;-;1;-;-;-;-;-;-;-;1
"312740 Gonçalves";9;78;119;190;521;672;1914;1262;1620;3066;95;27;4;28;1329;4330;159;-;1068;200;-;-;179;272;6;35;170;7;-;8537;1646;481;16;130;13;-;5;1;-;630;1075;1541;-;4337;-;-;-;2;-;-;-;-;-;-
"312750 Gonzaga";850;658;1431;1389;1487;2247;6653;3756;3905;6149;840;1638;967;26;1438;4105;1;9;11153;1330;370;440;2122;1576;207;846;1;1;90;13895;6640;4571;1071;8791;316;389;203;759;11855;304;1937;1424;1616;2695;-;3;4;1;1;-;-;-;-;-
"312760 Gouveia";4262;1840;4500;4106;3979;5525;19097;9777;8986;13129;9685;3024;3137;15;2323;9380;19;93;57541;2696;1442;1252;3034;10727;504;143;-;52;6;31967;6270;14099;5314;36644;904;1430;449;2024;50215;184;2699;5258;1046;19509;-;23;12;-;-;5;-;-;-;-
"312770 Governador Valadares";2340;8533;24072;22380;20930;20961;82495;55935;56255;89441;310685;27007;32115;16583;46857;124951;991;2808;115970;14774;7437;4705;11035;31989;620;8404;36;632;142;299033;6365;75554;20396;181361;18924;11470;12055;12367;182517;5390;11768;28419;20663;50652;-;128;118;5;-;40;-;41;31;142
"312780 Grão Mogol";-;1193;3454;2603;2707;3000;11350;5423;4644;6775;1954;2819;2255;68;334;4071;2;11;14686;785;36;749;882;1642;826;-;-;164;1071;14224;50620;4139;1141;3825;375;176;159;232;65712;72;146;147;42;1033;30;-;-;-;-;-;-;1;-;-
"312790 Grupiara";264;274;682;536;617;626;2275;1556;1339;1929;906;77;241;5;466;1151;19;-;9158;288;3;242;213;1210;10;54;19;1;4;2623;11244;1363;385;1341;99;701;338;116;14718;163;392;958;72;8842;-;10;4;-;-;2;-;-;-;1
"312800 Guanhães";394;3223;7370;7659;7956;9644;38360;21202;21672;31431;8572;8343;7815;97;4253;19416;71;55;99577;7807;2850;1928;7511;26080;219;172;22;22;1;54433;18139;17908;3221;8270;1896;249;9;11561;99491;1038;2579;3139;1669;9970;2;59;32;6;-;17;-;7;5;11
"312810 Guapé";15;1607;4400;4499;4192;3550;13652;8972;8659;11208;7363;1651;3710;73;3086;9590;7;21;11512;1952;60;309;4574;2581;197;130;6;22;1;22509;16580;17338;7324;5446;1231;591;35;1660;2979;349;1205;2775;279;12492;-;6;2;1;-;2;-;1;9;-
"312820 Guaraciaba";-;935;1496;2163;2693;2910;11016;6678;6276;9894;2559;2601;3069;123;2617;7233;-;30;11186;2394;421;467;1942;3662;90;600;58;15;7;15394;56827;7636;2357;7167;358;38;36;3173;20096;144;1753;5100;55;1841;-;14;5;-;-;17;-;-;16;3
"312825 Guaraciama";292;649;1777;1464;1332;1605;4384;3078;3000;3373;2592;447;1381;237;1715;6003;-;11;6655;867;231;165;2155;1228;299;283;1;10;152;7926;5838;2552;1434;4444;340;256;236;18189;22094;300;613;2555;76;3226;-;3;3;-;-;2;-;-;3;5
"312830 Guaranésia";406;4565;6638;6549;5815;7209;26079;14729;15081;19565;4446;3941;4911;450;11231;17911;23;1;21861;4021;926;821;3628;6657;184;165;-;-;27;13326;15670;19457;2458;5528;1664;5;26;614;2530;1512;1515;2733;82;6641;-;4;9;1;-;8;-;-;1;8
"312840 Guarani";7;3157;3593;2197;1944;3187;13555;9530;9980;17226;3665;2631;2981;1793;2090;5232;11;39;16940;870;2697;921;1211;4610;147;1;-;3;-;11124;304;9729;1224;19442;635;1;4;1021;208806;659;4182;6316;557;13853;-;4;6;-;-;5;-;-;2;2
"312850 Guarará";10;81;365;579;600;757;4124;3219;3642;5930;300;621;518;38;1611;6084;-;18;4117;842;91;225;1821;2107;51;23;1;53;83;553;7855;2899;300;1686;190;28;-;1046;3041;103;666;682;379;3434;-;13;4;-;-;3;-;-;3;1
"312860 Guarda-Mor";114;687;1658;1598;1613;2164;8939;4865;4291;4991;2451;2180;1521;50;1755;5483;-;4;2089;724;88;360;2063;1579;35;75;-;248;2;24977;13029;5886;2892;5111;880;62;50;321;8918;242;1247;2084;6;7111;-;6;6;14;1;2;-;-;1;3
"312870 Guaxupé";79;1674;2492;2394;2881;4807;11716;7580;8308;9153;3578;2089;4819;146;10201;14926;110;105;3544;1962;822;357;3972;3793;73;79;1;55;-;4189;1216;5769;2579;5957;695;181;-;323;176;271;1109;2929;211;2347;2;6;5;-;-;1;-;-;-;8
"312880 Guidoval";8;307;1982;2402;2797;3346;10981;7195;7477;11683;873;1416;1782;1631;3305;6651;31;40;14601;2084;1759;401;1834;2018;179;3276;4;2;6822;22377;13324;10808;1813;28291;534;38;226;1253;18495;269;744;3305;3;14218;-;1;2;-;-;-;-;1;-;2
"312890 Guimarânia";20;540;1798;1785;1781;2168;7870;4703;4598;6095;1055;766;2776;27;1250;4391;72;2;5215;1280;42;88;2317;4306;21;31;-;273;-;11725;44;13109;8454;43182;910;1;1003;112;-;111;477;366;15;1020;-;28;27;3;1;4;-;2;-;12
"312900 Guiricema";38;451;1540;1953;1912;2116;6666;4645;4845;6864;2086;1146;1142;51;2958;5959;1;45;12173;2251;1099;778;1477;1193;961;-;28;241;563;27302;3497;4989;2334;2701;670;438;466;298;27422;382;4485;4742;511;954;2;8;16;2;-;4;-;-;-;-
"312910 Gurinhatã";2338;405;1123;1190;1466;1546;4284;3455;3897;4748;3849;773;1539;97;10152;36800;46;71;3572;849;116;223;695;116;83;6;-;-;1;12501;17743;6487;609;7960;753;80;62;1035;733;136;2356;3078;3453;2790;-;-;1;-;-;-;-;-;2;3
"312920 Heliodora";331;226;341;287;209;233;1300;1225;1587;2801;1344;34;383;-;3625;9399;1;1;1573;353;43;49;786;1038;2;69;6;-;11;625;171;1459;81;1563;56;6;-;1123;178;329;2213;3103;-;19379;-;11;19;-;-;7;1;-;-;3
"312930 Iapu";29;1066;3341;2651;2678;3054;11576;7197;7040;11477;7381;1212;2468;89;3027;13773;139;44;5877;1028;1018;324;1485;1136;174;524;4;3;1595;55676;79887;6004;1985;6234;379;593;259;634;298;396;2463;4828;1498;7177;-;16;4;-;-;4;-;13;-;15
"312940 Ibertioga";517;446;1647;1527;1461;1656;6377;3794;3455;4382;3103;594;143;8;1487;8344;288;17;1474;778;86;17;1627;1491;133;46;7;-;-;8487;1025;880;10;382;19;37;4;769;27879;838;713;4550;97;7466;8;7;6;2;-;-;-;-;-;10
"312950 Ibiá";177;541;2078;2338;2325;2983;13733;9344;9067;10847;2203;1750;5592;181;3165;11263;183;127;9113;3083;1633;656;1701;6289;109;282;1;-;51;16337;490;5956;3508;6502;2249;70;13;361;166;294;1174;2625;138;3430;-;37;39;2;-;14;2;12;15;12
"312960 Ibiaí";568;1717;2524;2582;3078;4067;9145;5507;4967;5885;6014;5382;4881;4622;4604;7464;32;102;13799;1157;620;1967;5540;1856;481;593;-;-;110;28929;29854;7209;2340;3101;857;3489;70;849;30245;975;1343;6446;596;5586;-;6;7;7;-;6;-;-;-;25
"312965 Ibiracatu";8;869;1969;1837;1736;1857;6030;3080;2497;4301;2075;1853;1047;583;1346;6027;-;69;3528;946;899;470;1298;1057;43;368;9;-;-;7302;11709;2190;1496;6206;223;90;19;432;12821;132;831;1240;1;2651;-;3;2;1;-;4;-;-;2;-
"312970 Ibiraci";325;358;1392;1205;1279;1498;6719;4886;5079;6773;5362;471;583;122;3313;11335;17;13;5836;892;154;22;570;1440;10;19;273;239;350;2458;83;5431;1866;3904;254;324;1296;162;432;202;1652;5981;255;4707;-;9;5;-;-;3;-;1;-;9
"312980 Ibirité";103;11800;19530;16094;16917;23430;88972;69369;80033;101817;21994;22141;33668;1375;37940;161172;209;476;66604;12030;25979;3144;16870;26496;182;1818;35;877;443;324402;5394;72909;29235;56625;18907;1833;252;13798;2122;2330;5019;9104;148;9318;3;125;83;14;5;25;-;3;37;109
"312990 Ibitiúra de Minas";282;83;471;813;791;901;3924;2815;3350;5025;160;6;823;52;1137;3638;-;49;3130;147;115;3;238;605;-;32;-;-;1;7581;-;2417;-;523;36;213;41;19;-;61;964;1136;251;4501;-;14;14;-;-;6;-;-;-;1
"313000 Ibituruna";-;93;510;551;631;812;2704;1727;1624;2700;3204;793;702;85;1544;3774;-;5;13472;1077;11;178;1892;1942;157;66;6;-;-;1271;8280;3714;322;3300;292;307;117;100;1303;51;220;735;22;4176;-;3;1;-;-;1;-;-;-;1
"313005 Icaraí de Minas";17;1084;2161;2294;2347;2987;6878;4274;3919;5522;2883;2250;1712;28;859;5539;140;20;6107;1191;607;724;3296;1987;22;60;7;12;9;20722;23858;5137;3528;3751;693;1927;38;743;16499;503;1099;1902;816;4220;-;8;7;7;25;-;-;1;3;2
"313010 Igarapé";114;4227;6829;5300;4423;5088;17734;10253;10314;15508;6524;4714;5493;151;7715;18996;192;51;13480;3160;1142;1130;1835;7209;40;1891;4;6170;1115;79340;3895;10267;11642;13139;1802;952;673;1561;366;665;1643;2117;102;3261;-;10;7;3;-;2;-;-;-;16
"313020 Igaratinga";406;133;437;450;691;1142;4526;2765;2456;3395;814;656;915;29;2551;6985;-;33;7325;1583;460;404;2143;2233;182;453;60;24;7;5656;1251;4782;430;6245;356;197;3;175;15262;154;2156;2828;-;6609;-;8;10;-;-;2;-;-;-;1
"313030 Iguatama";-;387;1056;906;983;1558;7663;5831;6373;160616;2239;997;1660;2316;4780;10255;20;11;4292;755;1295;317;1492;1092;80;15;7;6556;6;7625;10589;12838;1188;6753;465;682;1;113;493;113;440;1867;287;11909;-;1;-;-;-;-;-;-;-;-
"313040 Ijaci";755;632;1324;1236;1212;1392;6282;4613;4590;6860;669;435;1522;56;2622;6659;1;12;2082;630;711;200;1293;1365;14;178;4;6;99;5949;7934;5288;208;3102;130;516;9;485;33905;340;963;2523;374;11794;-;20;21;-;-;4;-;-;3;16
"313050 Ilicínea";1849;1316;3113;3125;2830;2692;10580;7703;7088;10268;3837;2660;3647;341;7790;24702;1;109;14125;4367;936;216;3239;4535;423;104;19;1;33;64672;11452;21962;3879;5065;1053;915;13;717;5051;269;3609;7970;830;14590;-;3;6;-;-;4;-;1;-;14
"313055 Imbé de Minas";688;1191;1864;2281;2779;3417;4714;5160;5054;5107;1029;600;3516;235;6323;18221;38;2016;1491;921;593;479;8482;695;183;139;21;1;33;22864;16977;6082;3031;4171;527;676;338;615;893;571;8796;12803;9089;13853;-;-;-;-;-;1;-;-;-;-
"313060 Inconfidentes";499;161;531;619;805;857;3349;2283;2368;3677;601;115;754;26;1700;4512;-;33;809;398;30;25;1800;1253;43;109;-;39;1;2306;15;1796;380;2328;75;2;28;265;159;174;1130;2517;1;2022;-;6;5;-;-;3;-;-;-;1
"313065 Indaiabira";19;873;2218;1835;2085;2188;9101;4661;4424;6315;4052;1771;1981;60;2372;15370;30;108;324;1387;908;401;5336;1318;111;730;59;13;9;21327;4126;9840;4265;17636;971;762;591;600;17977;165;266;1569;66;5171;1;11;4;-;-;1;-;-;1;6
