 Sistema de Informação de Atenção Básica - Produção e Marcadores - Brasil
Cons.Res.ForaÁreaCons.<1 anoCons.1a4anosCons.5a9anosCons.10a14anosCons.15a19anosCons.20a39anosCons.40a49anosCons.50a59anosCons.60 e maisAtend.PuericulturaAtend.Pré-NatalAtend Prev-citologAtend.DST/AIDSAtend.DiabetesAtend.Hiper.Arter.Atend.HanseníaseAtend.TuberculoseEx.Patologia Clín.Ex.RadiodiagnósticEx.CitopatológicoEx.UltrassonografEx.OutrosEncam.Atend.Espec.Encam.Int.HospitalEncam.Urg./EmergIntern.DomiciliarAtend.Espec.AcTrabVis.Insp.SanitáriaAtend.Indiv.EnfermAtend.Ind.Prof.NS.CurativosInalaçõesInjeçõesRetirada de pontosTerap.Reid.OralSuturaAtend.GrupoProc.Coletiv(PC1)ReuniõesVisita MédicoVisita Enferm.Vis Outr.Prof.NS.Vis Prof.Niv.MédioValvul.Reum.5-14a.AVCInfartoDHEG(Forma Grave)DoençaHemol.Perin.FraturaColoFêmurMening.TuberculosaHans.Grau II e IIICit.Oncot NIC IIIPneum. <5 anos por Município
Período:2013-2015
"Município";"Cons.Res.ForaÁrea";"Cons.<1_ano";"Cons.1a4anos";"Cons.5a9anos";"Cons.10a14anos";"Cons.15a19anos";"Cons.20a39anos";"Cons.40a49anos";"Cons.50a59anos";"Cons.60_e_mais";"Atend.Puericultura";"Atend.Pré-Natal";"Atend_Prev-citolog";"Atend.DST/AIDS";"Atend.Diabetes";"Atend.Hiper.Arter.";"Atend.Hanseníase";"Atend.Tuberculose";"Ex.Patologia_Clín.";"Ex.Radiodiagnóstic";"Ex.Citopatológico";"Ex.Ultrassonograf";"Ex.Outros";"Encam.Atend.Espec.";"Encam.Int.Hospital";"Encam.Urg./Emerg";"Intern.Domiciliar";"Atend.Espec.AcTrab";"Vis.Insp.Sanitária";"Atend.Indiv.Enferm";"Atend.Ind.Prof.NS.";"Curativos";"Inalações";"Injeções";"Retirada_de_pontos";"Terap.Reid.Oral";"Sutura";"Atend.Grupo";"Proc.Coletiv(PC1)";"Reuniões";"Visita_Médico";"Visita_Enferm.";"Vis_Outr.Prof.NS.";"Vis_Prof.Niv.Médio";"Valvul.Reum.5-14a.";"AVC";"Infarto";"DHEG(Forma_Grave)";"DoençaHemol.Perin.";"FraturaColoFêmur";"Mening.Tuberculosa";"Hans.Grau_II_e_III";"Cit.Oncot_NIC_III";"Pneum._<5_anos"
"313652 José Gonçalves de Minas";1135;355;764;732;617;751;3132;1425;1317;1708;1414;1248;622;4;1289;6171;18;4;48602;1499;511;311;783;5843;530;706;2;3;53;5421;350;564;234;2374;61;262;16;321;39718;201;770;1290;216;1501;-;9;-;-;-;1;-;-;-;-
"313655 José Raydan";-;991;1725;2197;1990;2352;5362;3385;3642;5355;358;926;988;-;1197;9975;2;2;12064;869;104;312;445;844;476;427;-;-;30;6459;3761;11556;1767;10352;1054;766;595;538;89196;101;1260;1982;799;3238;-;-;-;-;-;-;-;-;-;-
"313657 Josenópolis";1;769;1503;1500;1247;1909;7382;3079;3447;4723;1728;1141;1270;627;515;2521;-;18;2760;894;242;335;3162;2178;347;733;9;1;3;22707;9222;6247;2742;15687;337;125;460;143;8;135;528;907;609;-;-;11;3;-;-;4;-;-;2;1
"313665 Juatuba";491;4923;6792;5656;5599;6801;24552;15908;18589;24948;7621;4505;4948;322;13114;28209;99;79;14548;3134;2181;1289;3613;9786;240;868;27;2954;22;52590;8082;9823;4737;10080;1527;471;39;2514;751;690;3592;3258;1063;6349;1;11;14;1;-;10;-;7;5;3
"313670 Juiz de Fora";30710;27219;34735;24760;26632;40103;143292;113099;144320;206024;51262;29148;47034;1917;87313;235670;243;807;127478;25014;38674;8398;30081;105207;280;5943;15;69;4;258063;48300;68865;26056;126462;15129;2502;13;11958;-;10407;19062;16814;3441;15163;-;152;176;6;-;43;-;-;17;-
"313680 Juramento";21;1184;2355;2248;2112;2290;6820;3831;4044;6306;1057;1052;1517;10;1440;6835;-;6;7962;964;325;280;1012;1250;81;232;2;20;14;2824;6050;6030;1216;3919;269;178;182;114;22;84;891;1541;920;9347;-;1;2;-;-;5;-;-;1;7
"313690 Juruaia";355;386;1240;1403;1291;1738;6555;3646;3830;131382;2437;560;1681;65;2433;6713;18;-;782;620;243;448;16640;2043;57;105;1;-;3;1127;3905;2659;111;4593;332;29;41;479;63154;211;1028;3087;375;5221;-;-;-;-;-;1;-;6;-;-
"313695 Juvenília";65;891;1460;1502;1485;1859;4002;2978;3481;3517;2586;1441;940;55;1250;4935;13;71;7105;915;694;617;1385;754;133;228;5;1;3;10759;5649;1447;469;2347;232;26;46;258;294;187;704;1299;140;3429;-;1;2;-;-;1;-;-;6;-
"313700 Ladainha";543;999;2541;2643;2757;3239;11891;6037;6035;11779;4266;2397;2102;531;1689;8866;332;8;16527;1253;1225;935;2162;2534;196;103;-;108;142;16998;4080;3580;867;3643;312;127;165;168;4193;423;613;691;110;3759;-;1;-;-;-;1;-;-;-;-
"313710 Lagamar";42;165;564;804;868;981;4036;3617;3991;6100;776;686;1755;-;12594;28559;14;1;2756;983;963;410;1374;671;90;14;18;-;5;3979;1930;4463;647;2530;782;329;-;533;139;233;638;758;12;4521;-;-;-;-;-;-;-;-;-;5
"313720 Lagoa da Prata";15;2876;6390;6268;6314;8461;27548;16471;17386;22192;6344;3114;9486;1333;8357;18129;32;58;20066;4237;1465;1280;5604;8501;68;1166;265;263;5;53146;7367;36200;2496;21749;3677;14572;251;737;280;785;1471;2504;313;11880;-;19;26;1;-;1;-;1;5;22
"313730 Lagoa dos Patos";378;1017;1314;1492;1664;2145;4480;3078;3006;3739;1232;1244;1521;459;1465;3889;-;22;2931;620;886;742;1413;831;85;120;9;-;59;5070;7115;3040;227;712;203;367;14;504;6519;446;956;944;631;1816;-;4;4;-;-;4;-;-;-;4
"313740 Lagoa Dourada";798;965;2092;2054;1841;1656;7102;4533;4930;7969;1566;323;2024;282;4069;9891;4;9;4859;514;1124;276;1679;906;150;89;21;2;7;6540;11014;10757;661;7496;301;190;58;689;165;148;1280;3463;2422;8402;2;15;5;2;1;2;-;-;7;8
"313750 Lagoa Formosa";95;407;976;1300;1417;2274;8000;4831;4339;7701;4816;1047;2289;192;2115;7017;147;5;3742;1241;212;347;2423;2677;46;116;-;-;19;9038;316;4938;2627;20003;1387;23;-;134;3;273;347;727;17;1824;-;-;-;-;-;-;-;10;-;4
"313753 Lagoa Grande";10;395;937;1085;1201;1386;6030;4067;4185;5265;1234;1763;1649;171;5188;22437;193;4;1236;252;401;104;251;602;4;21;-;-;2;15062;659;4376;1388;3011;365;82;219;256;5;311;594;465;278;1435;-;2;1;-;-;1;-;-;2;-
"313760 Lagoa Santa";477;6309;10927;10024;10431;15593;52947;31920;34651;49476;9852;7558;8210;416;15030;33684;29;37;107095;13039;6103;3304;25851;29017;696;2507;68;819;136;148037;22324;14721;1246;14570;2997;5743;501;208953;38684;1049;3611;3371;2097;12543;-;59;56;5;2;29;1;15;10;14
"313770 Lajinha";56;1313;4653;4362;4076;4393;17069;10422;10262;16261;4080;2145;2411;149;2655;9562;4;22;13374;1935;465;497;3808;4952;19;214;-;-;6;15704;12170;9559;1174;4237;909;291;8;247;3007;175;1384;3999;471;7986;-;23;16;-;4;4;-;2;-;25
"313780 Lambari";2;308;581;795;840;1616;6506;5872;6678;11159;2980;507;2656;305;10276;34867;17;19;4828;608;82;70;1452;2794;62;36;-;-;-;4259;9782;6843;331;2657;360;9;1;48;253;219;1577;1920;368;2117;-;10;3;-;-;5;-;-;3;4
"313790 Lamim";86;308;947;858;885;927;3707;2133;2809;5043;303;134;311;45;1380;5758;-;-;4141;640;871;95;1843;1332;256;309;5;-;-;4711;1564;1177;9;862;18;6;5;493;5835;139;2176;963;711;4702;1;2;2;-;-;1;-;-;-;1
"313800 Laranjal";3;290;610;861;1072;1358;2051;2195;2366;2667;326;163;131;133;4475;8119;4;3;1451;631;156;279;1697;456;69;38;-;376;268;1831;1147;3369;202;1429;100;37;43;198;148;109;1019;2395;969;7341;-;-;-;-;-;-;-;-;-;-
"313810 Lassance";83;551;1218;1286;1233;1574;4967;2624;3140;4049;702;966;1083;77;857;2806;28;1;4069;417;284;309;403;927;4;52;20;-;2;7520;277;3239;1623;6397;284;902;23;208;49;130;434;817;65;1875;-;1;-;-;-;1;-;-;3;-
"313820 Lavras";675;2213;3547;3503;4245;5683;21906;18085;22893;32749;5203;3043;10896;142;12297;33733;118;205;21861;3760;2255;908;4862;8815;58;551;13;5026;2445;93754;22209;13859;2652;11361;4078;4826;5173;3825;1099;824;4388;7656;8677;10858;1;26;17;1;-;5;1;-;-;-
"313830 Leandro Ferreira";-;106;336;311;365;369;2208;1542;1865;3682;352;70;791;6;351;765;-;-;4572;41;1;11;296;126;3;28;-;1;-;5537;-;1393;34;3722;28;166;22;70;-;39;336;783;-;12376;-;9;10;2;-;3;-;-;6;2
"313835 Leme do Prado";-;509;967;1302;1680;2369;3249;3612;4437;5590;648;899;853;182;888;1561;8;4;8088;1260;720;451;3704;1102;303;528;-;-;126;17612;3480;4926;2612;12638;786;4568;385;295;35;65;195;362;263;142;-;2;-;-;-;6;-;-;-;-
"313840 Leopoldina";500;829;2495;2935;3395;3926;14143;12256;14272;264726;5622;351;3738;993;6782;20386;7;101;390092;2638;2069;106;1603;3206;82;404;6;259;15;40623;151871;11376;1120;16011;1852;58;1036;943;8549;122;1486;3512;399;8162;-;50;50;1;-;9;-;1;5;7
"313850 Liberdade";948;102;388;521;603;613;3029;2811;3223;6980;1917;159;422;-;2418;7417;9;-;841;192;32;19;451;632;29;9;-;-;-;3346;-;2700;673;1512;46;129;-;302;-;21;1404;1926;19;2009;-;-;-;-;-;1;-;2;-;1
"313860 Lima Duarte";1149;655;1949;1905;1951;2551;8963;7048;8022;11645;1570;1348;2369;175;5780;15202;85;94;9785;936;446;370;2540;3341;168;188;1;575;1;26083;3968;11290;678;3417;95;13;2;1082;6379;461;2580;4917;604;18516;4;28;16;13;4;2;-;-;-;6
"313862 Limeira do Oeste";-;273;816;778;724;928;5532;4205;5083;7180;182;821;794;3;1273;6707;43;10;2345;226;749;233;1045;1613;6;4;1;-;2;5331;3254;1105;-;224;99;25;-;117;2;83;6061;5188;3255;7949;-;-;1;-;2;2;-;-;-;3
"313865 Lontra";89;1780;3995;3428;3225;3986;11316;6277;6802;10345;11769;2556;1795;46;4205;17879;61;83;4618;2124;837;1160;11172;3504;427;1201;11;16144;4022;39646;17887;5674;1300;3823;675;882;278;702;2496;147;1398;1888;778;6796;1;8;1;-;-;2;-;1;6;2
"313867 Luisburgo";983;579;1909;2048;2045;2131;8241;4582;4593;6256;895;1410;1325;7;961;3702;48;28;11634;1371;505;603;3750;1647;23;280;12;-;134;9892;141;1633;586;4622;280;489;186;63;5;105;306;2508;354;3880;-;-;-;-;-;-;-;-;-;-
"313868 Luislândia";391;967;2625;2487;2051;2684;6623;4074;3812;5618;2462;1345;465;216;1269;6398;4;28;1192;538;119;414;1719;1108;498;546;17;-;7;6884;4116;3991;2343;5947;445;302;308;166;1017;146;902;1971;376;4509;-;4;6;-;-;5;-;-;-;6
"313870 Luminárias";134;548;751;589;389;495;1540;1066;1031;1684;601;23;216;14;1603;5672;-;-;747;400;69;63;375;385;21;22;-;34;14;742;3112;1448;2;1016;106;56;143;74;4383;51;598;1291;203;2042;-;13;9;1;-;1;-;-;-;2
"313880 Luz";10;1257;2804;2273;2843;3602;11480;9256;10115;15332;2449;1964;3752;1938;7093;17701;97;59;22646;3728;653;1016;4354;2568;202;1478;1;4;-;24284;15979;11403;1235;8942;1056;278;813;1072;28654;366;1480;2809;1236;7117;1;12;22;14;1;8;2;13;5;25
"313890 Machacalis";-;565;1699;1760;1471;2009;6500;3605;3680;5168;1149;2401;1388;196;1463;3440;1;42;4091;581;191;614;1123;796;143;238;2;-;9;10413;422;2872;232;4222;414;249;2;1721;3946;588;621;1100;199;18751;-;6;9;1;-;3;-;-;2;3
"313900 Machado";59;879;2211;2360;2373;2430;8667;6450;7243;10290;2943;2408;3222;506;8648;43554;23;7;51138;1860;131;568;5807;5345;23;332;3;46;149;25331;4948;3060;418;10252;389;28;6;493;28719;373;1409;4329;301;8367;-;6;2;2;-;1;-;-;4;5
"313910 Madre de Deus de Minas";4;69;480;537;566;728;2925;2413;2258;3445;521;2830;1151;223;3197;5773;82;95;387;288;327;117;506;388;278;39;206;14;20;7600;368;2000;865;4767;354;30;57;177;93;183;883;1764;335;3236;2;1;-;-;-;4;-;-;2;-
"313920 Malacacheta";140;543;1104;1362;1971;2752;8010;5203;6446;10223;1566;2095;1994;74;3561;13502;208;111;19654;1561;1867;966;3732;2509;136;105;4;-;-;26315;1003;4674;1573;1687;516;484;3;223;6;162;418;2708;298;1778;-;3;2;-;-;3;-;1;-;3
"313925 Mamonas";-;1101;2439;2481;2189;2926;10446;6881;6659;10082;1990;1716;2043;89;1172;6792;-;15;6882;2134;288;490;3645;1740;392;508;10;-;1213;18488;10709;9127;3127;12391;1209;504;325;197;3;270;863;1340;1209;3845;2;7;2;-;-;6;3;-;-;2
"313930 Manga";765;3532;5200;4084;3547;5130;15747;8047;7974;11604;5327;6429;4464;280;2921;12838;139;55;18349;2252;726;1201;5296;3253;114;181;2;113;184;27872;15290;4735;3943;8982;1017;782;17;1267;51110;367;3548;3501;828;4803;-;11;6;2;-;6;-;3;10;8
"313940 Manhuaçu";685;4921;14028;14344;13714;17525;68826;37770;39569;158824;13790;19564;21163;1014;14018;249352;334;981;32937;7427;1191;2873;14301;6276;128;1054;128;1326;235;190125;7585;18508;5989;14844;3820;932;3568;3829;1293;3248;3418;11511;1850;6507;4;15;27;-;-;8;-;6;10;14
"313950 Manhumirim";211;1697;2822;3164;3230;4369;15008;8922;9130;13547;2107;3131;1918;81;2584;7709;69;55;14848;2193;603;815;3873;6163;124;374;-;3;30;42021;17086;11909;1931;6049;1393;856;-;809;64060;1020;1274;3980;6127;5305;-;19;15;-;2;9;-;-;1;-
"313960 Mantena";538;1803;5137;5466;5181;5625;22108;13505;14113;21835;2657;3860;4709;408;4209;15526;102;171;985720;2188;1139;680;7941;13003;202;268;92;102;10;41581;1949;16409;3220;13814;1775;111;697;266;3722;437;647;2838;34;6233;-;12;15;-;-;4;-;4;24;10
"313980 Mar de Espanha";4050;710;1375;1315;1236;2036;7876;5176;6440;10308;1269;1459;592;58;24577;15352;143;36;2828;838;51;250;1693;1067;67;85;-;-;5;12749;10178;9209;668;4663;367;41;1;357;3607;246;5980;5352;173;19414;-;5;3;-;2;6;-;-;3;2
"313970 Maravilhas";-;1879;3305;3107;2705;3533;8244;6334;5365;6470;1210;591;200;13;3690;4601;-;3;5176;1402;353;379;2032;116;29;7;5;32;193;27644;5530;2272;2260;4527;1351;1099;843;821;18482;330;481;1100;96;3815;-;4;1;1;-;-;-;-;-;3
"313990 Maria da Fé";62;2333;2393;1900;1929;2117;8368;6804;8233;13931;4957;2143;1740;78;9414;35769;-;58;31922;1860;148;177;3224;4486;64;181;5;1;-;33835;255;5653;628;2379;383;50;2;2602;66;355;3139;7474;137;9935;-;20;28;3;-;7;-;-;2;1
"314000 Mariana";1232;5034;6457;5867;5961;9014;32801;19792;20858;29600;9422;7146;7210;385;13867;39797;102;101;30224;3589;1016;2475;8702;13458;205;722;12;3;14;62446;21634;18358;5025;21966;2049;471;84;3215;59;882;3238;4786;575;16813;-;50;47;5;1;12;-;-;2;52
"314010 Marilac";65;836;2249;1863;1758;2090;6348;4200;3464;5608;4481;922;377;98;2615;8990;112;51;8265;1152;60;163;760;2216;39;171;-;3;-;9398;7826;2541;1628;5175;413;1383;330;326;244;153;959;4248;-;7299;-;2;2;-;-;3;-;-;-;2
"314015 Mário Campos";59;1597;1929;1781;1749;2276;7511;5107;4822;6442;2516;2407;2605;158;4352;8752;54;144;10902;1701;2185;880;2150;4871;254;1051;75;22;-;29217;4255;6168;2081;8925;576;611;127;219;75;305;946;918;276;3649;-;18;8;12;-;7;1;-;18;4
"314020 Maripá de Minas";4;79;237;237;325;521;2249;1585;1850;2864;632;752;1052;20;639;1473;1;121;5394;1358;854;292;2143;3000;357;97;5;-;61;1595;189;4843;160;6498;111;7;20;338;7120;152;574;1177;205;5313;-;1;8;-;-;5;-;-;-;-
"314030 Marliéria";21;289;1062;1141;1213;1310;5245;3715;3948;5991;1127;260;876;12;838;2723;12;-;866;127;80;58;88;401;36;82;1;-;21;9471;1610;2999;487;1176;143;9;205;152;789;195;1497;3043;390;5550;-;2;-;-;-;-;-;-;1;-
"314040 Marmelópolis";4;79;403;475;605;1002;3133;2584;2948;3639;4;-;126;-;1599;4735;-;-;892;217;45;5;456;252;9;110;-;1;-;6388;-;1281;124;1394;44;103;33;68;62;101;607;1054;24;448;-;4;4;-;-;2;-;-;-;2
"314050 Martinho Campos";-;1596;2741;2369;2648;3440;12888;9367;10096;17745;4020;2236;3502;160;9252;26650;3;2;107832;4124;2800;545;4058;5573;68;811;-;5;-;51998;20336;10167;597;26643;1258;443;78;4017;11001;135;1111;1107;3011;9455;-;7;2;-;-;9;-;1;6;16
"314053 Martins Soares";365;809;2829;2800;2774;2603;11120;6183;5221;8125;1018;320;1801;327;5692;22274;11;7;4762;848;577;165;1728;2072;229;338;78;-;1;7096;246;6451;1801;4553;376;1346;46;679;5506;212;554;2124;81;4010;-;-;-;-;-;-;-;-;-;-
"314055 Mata Verde";1104;1213;3738;3281;3585;3472;13509;7488;6570;11895;2782;2187;2329;59;2134;3259;6;14;479;222;255;332;702;780;119;358;9;-;-;29501;108;13100;5876;20680;619;154;594;271;16673;166;920;2960;205;5602;-;5;5;1;-;1;-;-;2;1
"314060 Materlândia";-;1004;1802;1429;1444;1574;5245;2669;2523;5020;3041;779;297;20;817;5216;-;4;1913;352;17;142;723;365;98;38;6;-;-;5911;195;3160;360;1119;178;96;22;269;70;241;505;420;28;2526;1;3;2;-;-;5;-;-;-;1
"314070 Mateus Leme";316;1477;2848;2974;3441;4496;16548;10386;12779;20080;4023;2950;2705;227;7109;16575;1;8;20656;4197;1269;454;1903;11516;107;1496;14;1990;-;31905;11593;12258;5853;9670;1536;1367;80;1582;36126;339;1245;2843;618;1951;-;18;15;-;-;6;-;-;-;2
"317150 Mathias Lobato";105;335;821;835;646;653;4368;972;1038;2112;543;904;933;21;710;1345;-;34;12570;652;742;569;606;1048;1;194;-;-;45;5568;7200;3624;1366;7584;250;76;141;40;34100;83;1289;589;522;2121;-;1;3;-;-;1;-;-;-;2
"314080 Matias Barbosa";1;47;115;213;729;1682;5985;7362;11957;20228;5508;2426;368;48;7534;19327;3;39;2174;507;595;69;657;2659;48;60;-;1;1;23966;8928;6906;596;16486;424;40;2;1428;4109;265;1354;2165;35;3599;-;17;34;-;1;4;-;1;1;12
"314085 Matias Cardoso";13;1532;2594;2466;2433;3713;9896;5328;4725;6685;3668;3295;2498;248;2007;4886;96;100;13246;1735;2160;983;2090;1928;63;57;9;193;152;20689;78087;4175;2276;8428;1012;776;56;550;22069;324;896;1745;1085;5983;-;5;3;3;2;2;-;-;-;3
"314090 Matipó";448;2643;5246;5537;8319;6268;20202;10433;9730;13291;137051;5047;3311;1125;10727;41045;126;198;158942;2990;2019;2353;7081;4353;421;438;427;431;601;65650;19042;14936;10227;7305;1167;667;5;471;15622;605;1456;9001;424;34956;-;4;4;15;-;3;-;23;1;2
"314100 Mato Verde";26;1662;2663;2391;3316;2970;9011;6295;6450;8948;2799;3332;2863;235;5325;11691;60;40;3356;990;569;930;1935;3140;353;191;111;1;435;40736;7575;17039;2239;9829;1592;1593;165;350;4182;443;2472;3322;587;11524;-;23;8;1;-;6;-;22;20;6
"314110 Matozinhos";1604;639;2371;3151;4299;7440;23261;14227;17079;172826;5044;7153;6772;585;9701;21401;32;63;226239;3743;4363;2580;5571;9936;368;1023;37;21;190;480227;5930;11564;2724;8543;1631;1306;62;1403;7;634;2338;3007;764;4192;-;65;47;3;-;12;-;-;-;4
"314120 Matutina";-;152;435;448;557;730;2829;2092;2845;15814;2186;161;635;25;908;3032;9;7;940;188;192;43;425;257;7;24;-;-;3;577;234;4349;171;3372;101;1;-;59;2;55;1000;481;184;3692;-;7;3;-;-;4;-;-;-;-
"314130 Medeiros";25;695;1627;1216;764;1121;3997;1807;1881;2913;3264;1219;639;53;436;1429;19;35;1309;251;70;113;253;214;92;62;6;-;-;4375;1734;3093;157;5052;18;23;74;200;198;39;433;930;765;7498;-;1;7;-;-;1;-;-;2;-
"314140 Medina";6;2700;5353;5052;4623;4937;17140;10940;11636;22301;12066;4692;3839;180;6807;27683;176;95;21076;3053;1226;1085;3197;4499;279;405;13;297;56;38847;7552;10007;1293;11248;1231;4398;49;1912;149;744;3518;5184;5785;18135;-;9;3;4;-;6;-;1;5;7
"314150 Mendes Pimentel";14;559;975;1131;1284;1551;4764;3538;3165;4849;1208;891;1108;25;988;2779;18;5;1899;528;555;256;1176;573;3;9;-;-;246;4429;326;1224;342;1490;83;7;22;98;67;248;899;1157;113;865;-;-;-;-;-;-;-;-;-;-
"314160 Mercês";-;426;1813;1687;1681;2006;7875;5398;5967;162678;8041;1126;2177;117;24101;53802;6;28;4130;1203;161;289;1656;2177;138;28;-;-;100;624962;403785;13072;1102;6369;762;9;1;2157;36010;2124;994;3564;3520;47201;4;3;1;-;-;3;-;-;-;1
"314170 Mesquita";5830;343;1033;1004;1081;1256;4369;3283;3860;6839;2222;2481;1210;63;1369;5546;345;481;452;7;123;5;191;-;-;25;-;159;-;12180;3245;886;610;2662;351;28;11;178;1100;116;820;2114;249;755;-;1;2;-;-;1;-;-;-;1
"314180 Minas Novas";189;2920;4878;4138;4084;5723;19046;10840;11684;16008;6841;5903;4514;261;7374;28460;139;100;41695;3731;1226;1966;4607;6011;749;389;1464;8597;1145;717688;9953;11193;4124;19515;1004;1157;82;929;40847;534;5657;7102;4136;6728;-;30;8;2;3;18;2;6;15;49
"314190 Minduri";6;620;251;309;335;377;1488;1021;1248;1810;658;634;1371;32;491;1744;-;42;1360;630;425;179;704;384;42;5;86;-;6;6296;2658;12;-;242;12;-;-;111;29;122;189;468;164;375;-;-;1;-;-;-;-;-;12;-
"314200 Mirabela";39;496;1260;1785;2218;3256;9003;6132;6797;10872;3601;3178;2354;77;4782;17392;23;67;3022;1389;1149;588;2923;3225;203;40;2;2;1;28192;11892;5821;2732;12462;742;558;8;402;1153;276;1792;4130;1920;3866;-;4;5;-;-;4;-;2;2;2
"314210 Miradouro";352;877;1798;1904;1531;1516;6527;4533;4159;5930;4314;1925;2222;503;8276;27752;48;19;4958;2467;1299;636;529;1842;324;34;3;8;61;129432;1739;5274;1127;1048;565;427;12;335;1474;328;2442;12963;2043;25015;-;9;5;3;-;12;-;7;-;12
"314220 Miraí";486;583;1789;2710;2816;2943;11001;11526;13113;174059;3717;548;1868;94;5338;11241;28;18;7174;2846;227;96;1391;3347;394;41;36;7;11;11123;10947;33602;1740;7013;645;544;42;8535;2093;434;2705;3089;2575;12656;-;17;14;-;-;7;-;-;1;30
"314225 Miravânia";68;762;1434;1316;1315;1863;3944;2601;2890;3571;1409;1052;627;138;1118;2496;20;36;992;407;177;608;2629;517;140;227;18;9;42;7156;1383;3355;1432;6931;344;307;284;150;4262;151;1376;1907;392;4716;-;2;-;-;-;-;-;-;-;-
"314230 Moeda";196;426;1040;816;859;933;3372;1908;2492;4434;751;173;524;6;1548;4460;1;37;1329;673;471;17;1014;595;81;227;-;3;-;4207;5383;3210;277;1358;127;216;36;98;28393;67;924;1267;1580;1672;-;24;17;1;-;13;-;-;-;-
"314240 Moema";40;321;420;565;696;1033;4400;2491;2665;4239;1597;1364;1646;15;1818;5093;11;-;3163;1051;32;406;2638;1371;10;36;72;12;4;3745;1821;6197;49;1024;744;20;2;95;4;64;320;512;143;3709;2;1;3;2;-;4;-;-;2;-
"314250 Monjolos";659;209;512;470;668;807;2228;1428;1564;2146;1183;643;1109;45;1336;4220;50;-;8786;937;790;289;1041;876;73;125;10;101;4227;2048;10254;10183;1964;8134;301;157;336;1214;11603;925;1485;1927;6125;5706;-;5;-;-;-;1;-;-;-;1
"314260 Monsenhor Paulo";1310;237;742;837;852;680;3865;2590;3312;4365;1076;985;504;24;2129;6654;5;-;259;116;1;201;925;333;22;42;-;-;-;5224;1024;3550;58;1137;69;-;12;64;-;42;1172;4093;1;12159;-;12;16;4;-;8;-;-;1;3
"314270 Montalvânia";665;1614;2916;3406;3446;3915;11612;8012;8664;11189;3234;4635;4461;1267;3908;10371;66;136;8102;461;1943;1256;4844;1195;148;198;1;-;8;31803;12670;6538;2475;5797;1033;954;31;651;764;398;1001;1861;2066;2560;-;7;3;-;-;3;-;-;6;7
"314280 Monte Alegre de Minas";-;433;1672;1850;1829;2486;11099;8440;9347;16003;459;61;3081;74;2879;7609;132;42;11595;554;1876;144;1148;2763;141;81;-;2;-;17630;1852;6474;747;3869;874;88;900;5943;67449;382;689;1856;547;3307;-;2;4;-;-;1;-;-;-;1
"314290 Monte Azul";65;5239;8639;7895;7538;9835;28372;21198;21139;27731;6323;6716;5512;311;6401;25315;200;74;13936;2645;1076;1511;5985;6344;280;266;2;6;8;27147;3001;9962;3175;17139;2222;514;9;691;881;776;857;2146;313;2016;-;2;1;-;-;-;-;-;-;-
"314300 Monte Belo";-;107;198;210;161;348;1497;958;1130;1856;74;512;378;5;770;2389;-;8;1196;174;14;79;407;425;8;56;-;-;-;747;42;522;80;807;68;2;68;26;-;37;429;295;-;303;-;3;1;-;-;2;-;-;-;-
"314310 Monte Carmelo";11;2969;5096;4628;5421;7637;29107;19653;21660;29578;3304;4048;5560;257;7612;21628;485;169;1001205;7170;2505;1487;10010;33154;183;900;15;2;25;65838;7016;17081;1997;5573;2554;1978;2;2877;14306;999;2659;2952;761;5785;-;21;21;-;-;1;-;-;-;2
"314315 Monte Formoso";-;1031;3467;3682;4050;4484;13065;5865;5007;11006;5120;2674;3039;10;1503;7120;1;27;3995;2799;2156;2161;2671;2295;366;1071;56;-;-;54547;4918;4131;3315;39835;944;36;190;268;3;259;996;3462;1573;13839;-;1;1;-;-;-;-;-;-;-
"314320 Monte Santo de Minas";635;1724;2670;2446;2942;4230;16187;9270;9552;14452;5510;5961;5420;158;5305;14871;43;252;71039;3976;956;900;3815;9598;70;1283;1;3;6;29254;10004;6505;809;6819;929;19;24;3402;31732;973;1055;2315;686;10894;-;9;9;2;-;1;1;4;1;12
"314340 Monte Sião";231;2275;2496;2547;3860;3022;13332;9660;11698;19527;3293;2340;3765;295;9080;17600;31;810;34846;4305;1850;868;6885;7896;67;195;-;10;-;13451;849;7787;1588;10351;1444;370;2;2203;1389;597;1671;2516;18;2959;6;24;42;1;2;16;-;-;1;2
"314330 Montes Claros";1291;21700;44520;42053;41285;57740;203896;123755;129348;173312;77078;56409;59720;4859;63083;166534;1266;4900;1506736;53358;50580;14985;57551;80900;1677;7995;180;1082;1428;389669;123878;58372;38337;56542;17015;1767;4567;20186;439332;19727;24438;50523;12955;184850;15;225;146;32;1;41;-;23;74;375
"314345 Montezuma";28;677;2033;2248;1924;2036;6803;3326;2882;4657;2401;1788;2918;40;2181;12895;-;7;5729;1041;312;519;1013;789;131;11;1;-;32;9053;9172;1823;824;4463;233;68;90;192;15781;177;398;1855;82;2927;-;1;-;-;-;-;-;-;-;1
"314350 Morada Nova de Minas";39;878;1766;1347;1127;996;4188;2704;2960;4453;834;241;979;10;704;1659;16;9;7404;634;89;50;887;1417;30;17;1;-;3;11650;-;7171;3303;4095;299;223;6;135;-;58;458;1088;37;5908;-;-;-;-;-;2;-;-;-;-
